الجدول ١
Credit-Application-Result;Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٢١٢١;None;< 1yr;٤;None;;٢;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٢١٤١;< £100;1-4 yrs;٣;None;;٤;٣٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٢١٧١;None;< 1yr;٢;None;;٣;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٢١٧١;None;< 1yr;٤;None;;٢;٣٨;Other Banks/Depts;٢;More than 1;١;١;١;٢
Non-Creditworthy;No Account;١٢;No Problems (in this bank);Used car;٢٢٤٦;None;4-7 yrs;٣;None;;٢;٦٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٢٢٤٧;None;< 1yr;٢;None;;٣;٣٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٢٢٧٩;£100-£1000;< 1yr;٤;None;;٤;٣٧;Other Banks/Depts;٣;1;١;١;٢;١
Non-Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٢٢٩٢;None;< 1yr;٤;None;;٣;٤٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;١٢;Paid Up;Used car;٢٥٧٧;None;< 1yr;٢;None;;٣;٤٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٢٧٤٨;None;4-7 yrs;٢;None;;٤;٥٧;Other Banks/Depts;٣;More than 1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٢٨٥٩;£100-£1000;< 1yr;٤;None;;٤;٣٨;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٢٩٣٠;None;1-4 yrs;٢;None;١;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Other;٣٠١٧;None;< 1yr;٣;None;١;١;;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;٣٠١٧;None;< 1yr;٣;None;١;١;٣٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٣١٢٤;None;< 1yr;١;None;٣;١;٤٩;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Used car;٣٣٣١;None;4-7 yrs;٢;None;;٢;٤٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٣٣٩٩;£100-£1000;4-7 yrs;٢;None;;٣;٣٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٣٥٢٧;£100-£1000;< 1yr;٢;None;;٢;٤٥;Other Banks/Depts;٢;1;١;٢;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Used car;٥٨٠١;£100-£1000;4-7 yrs;٢;None;;٢;٤٩;Other Banks/Depts;١;1;١;١;٢;٢
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٦٤٦٨;£100-£1000;< 1yr;٢;None;;٤;٥٢;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٧٤٧٢;£100-£1000;< 1yr;١;None;٢;١;٢٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٣;Paid Up;Home Related;١٤٠٩;< £100;< 1yr;٢;None;٤;١;٦٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٤;Paid Up;Home Related;١٤١٠;£100-£1000;4-7 yrs;١;None;٢;١;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;١٤;Paid Up;Home Related;٨٩٧٨;None;4-7 yrs;١;None;;٢;٤٥;Other Banks/Depts;٢;1;١;١;٢;٢
Non-Creditworthy;No Account;١٥;Some Problems;Home Related;٩٥٠;None;4-7 yrs;٤;None;;٣;٣٣;Other Banks/Depts;١;More than 1;١;٢;١;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Used car;٩٦٠;£100-£1000;1-4 yrs;٣;None;;٢;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٥;No Problems (in this bank);Used car;٩٧٥;None;< 1yr;٢;None;;٢;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;Paid Up;New car;١٣٠٠;£100-£1000;4-7 yrs;٤;None;;٤;٤٥;Other Banks/Depts;٣;1;١;٢;١;١
Creditworthy;No Account;١٥;Paid Up;Home Related;١٣٠٨;None;4-7 yrs;٤;None;;٣;٣٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Home Related;١٣٦٠;None;< 1yr;٤;None;;٢;٣١;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;Paid Up;Home Related;١٣٨٦;£100-£1000;< 1yr;٤;None;٢;١;٤٠;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Home Related;١٤٧١;None;< 1yr;٤;None;;٤;٣٥;Other Banks/Depts;٣;More than 1;١;١;٢;١
Non-Creditworthy;No Account;١٥;No Problems (in this bank);Home Related;١٥١٢;£100-£1000;< 1yr;٣;None;;٢;٦١;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Used car;١٥٢٠;£100-£1000;4-7 yrs;٤;None;;٢;٦٣;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٥;Some Problems;Home Related;١٧٧٨;None;< 1yr;٢;None;١;١;٢٦;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Home Related;١٨٢٩;None;4-7 yrs;٤;None;;٣;٤٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٥;Paid Up;Home Related;١٩٠٥;None;4-7 yrs;٤;None;;٣;٤٠;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;١٥;Paid Up;Used car;٢٢٢١;£100-£1000;< 1yr;٢;None;;٣;٢٠;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٥;No Problems (in this bank);Home Related;٢٣٢٦;£100-£1000;< 1yr;٢;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٥;Paid Up;Home Related;٢٣٢٧;None;< 1yr;٢;None;٣;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٥;Paid Up;Home Related;٢٥١١;None;< 1yr;١;None;;٣;٢٣;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;No Account;١٥;Paid Up;Home Related;٢٦٣١;< £100;< 1yr;٢;None;;٣;٢٨;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٥;Paid Up;Home Related;٢٦٨٧;None;1-4 yrs;٢;None;;٢;٢٦;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Used car;٢٧٨٨;None;1-4 yrs;٢;Yes;;٣;٢٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;Paid Up;Home Related;٣١٨٦;£100-£1000;1-4 yrs;٢;None;;٣;٢٠;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);Used car;٣٣٤٣;None;< 1yr;٤;None;;٤;٢٨;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;١٥;No Problems (in this bank);New car;٣٥٩٤;None;< 1yr;١;None;;٢;٤٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٥;Paid Up;New car;٤٦٥٧;None;< 1yr;٣;None;;٣;٣٠;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;١٦;No Problems (in this bank);Home Related;٢٦٢٥;None;4-7 yrs;٢;Yes;;٢;٤٣;Other Banks/Depts;١;1;١;١;٢;٢
Creditworthy;No Account;١٨;Paid Up;Home Related;٨٦٦;None;< 1yr;٤;Yes;٢;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٠٢٨;None;< 1yr;٤;None;٣;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٨;No Problems (in this bank);Used car;١٠٤٩;None;< 1yr;٤;None;;٢;٢١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٠٥٥;None;< 1yr;٤;None;;٢;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٠٩٨;None;< 1yr;٤;None;;٣;٦٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١١٤٩;£100-£1000;< 1yr;٤;None;٣;١;٤٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٨;Paid Up;Home Related;١٢١٦;None;< 1yr;٤;None;;٣;٢٣;Other Banks/Depts;١;1;١;١;٢;١
Non-Creditworthy;No Account;١٨;Paid Up;Home Related;١٢١٧;None;< 1yr;٤;None;٣;١;٤٧;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٨;Paid Up;Home Related;١٣٠١;None;4-7 yrs;٤;Yes;٢;١;٣٢;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٨;Paid Up;Home Related;١٣٤٥;None;< 1yr;٤;None;٣;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٨;Some Problems;Home Related;١٤٤٢;None;1-4 yrs;٤;None;;٤;٣٢;Other Banks/Depts;٣;More than 1;١;٢;١;١
Creditworthy;Some Balance;١٨;Paid Up;Home Related;١٤٥٣;None;< 1yr;٣;None;١;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٨;Paid Up;Home Related;١٤٧٣;None;< 1yr;٣;None;٤;١;٣٩;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;١٨;Paid Up;Used car;١٥٣٣;None;< 1yr;٤;Yes;;٢;٤٣;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;No Account;١٨;Some Problems;Used car;١٥٥٣;None;< 1yr;٤;None;;٣;٤٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٥٨٢;£100-£1000;4-7 yrs;٤;None;;٣;٤٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٨;No Problems (in this bank);Home Related;١٧٩٥;None;4-7 yrs;٣;Yes;٤;١;٤٨;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٨٠٠;None;< 1yr;٤;None;;٣;٢٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;١٨٦٤;< £100;< 1yr;٤;None;٢;١;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٨;No Problems (in this bank);Used car;١٩٢٨;None;< 1yr;٢;None;٢;١;٣١;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٨;Paid Up;Home Related;١٩٣٦;£100-£1000;1-4 yrs;٢;None;;٣;٢٣;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;١٨;Paid Up;Home Related;١٩٦١;None;4-7 yrs;٣;None;;٣;٢٣;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٨;Paid Up;Used car;١٩٨٤;None;< 1yr;٤;None;;٤;٤٧;Other Banks/Depts;٣;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٨;Paid Up;Used car;٢٠٣٩;None;< 1yr;١;None;٤;١;٢٠;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;Some Balance;١٨;Paid Up;Home Related;٢١٠٠;None;< 1yr;٤;Yes;٢;١;٣٧;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;٢١٦٩;None;< 1yr;٤;None;;٣;٢٨;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;٢٢٣٨;None;< 1yr;٢;None;;٣;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٨;Paid Up;Home Related;٢٢٤٩;< £100;1-4 yrs;٤;None;;٣;٣٠;Other Banks/Depts;٢;1;١;٢;٢;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;٢٤٠٤;None;< 1yr;٢;None;;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٨;Paid Up;Used car;٢٥١٥;None;< 1yr;٣;None;٤;١;٤٣;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٨;Paid Up;Home Related;٢٦٢٢;< £100;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٨;No Problems (in this bank);Home Related;٢٧٧٥;None;1-4 yrs;٢;None;;٢;٣١;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;١٨;Paid Up;Used car;٢٨٦٤;None;< 1yr;٢;None;١;١;٣٤;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;١٨;No Problems (in this bank);Home Related;٢٨٩٩;£100-£1000;4-7 yrs;٤;None;;٣;٤٣;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;١٨;Paid Up;Home Related;٣٢١٣;£100-£1000;< 1yr;١;None;٣;١;٢٥;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٨;No Problems (in this bank);Home Related;٣٥٩٠;None;< 1yr;٣;None;;٣;٤٠;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Creditworthy;No Account;١٨;No Problems (in this bank);Used car;٣٦١٢;None;4-7 yrs;٣;None;;٢;٣٧;Other Banks/Depts;٢;1;١;١;٢;٢
Creditworthy;No Account;١٨;Paid Up;Used car;٣٦٥٠;None;< 1yr;١;None;;٣;٢٢;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٨;No Problems (in this bank);New car;٣٨٥٠;None;1-4 yrs;٣;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٨;No Problems (in this bank);Used car;٤٢٩٧;None;4-7 yrs;٤;None;;٤;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٨;Paid Up;Home Related;٤٣٨٠;< £100;< 1yr;٣;None;;٣;٣٥;Other Banks/Depts;٢;1;١;٢;٢;١
Creditworthy;No Account;١٨;Paid Up;Home Related;٤٤٣٩;None;4-7 yrs;١;Yes;١;١;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٨;Paid Up;Home Related;٤٥٩٤;None;< 1yr;٣;None;;٣;٣٢;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٨;No Problems (in this bank);Used car;٧٣٧٤;None;< 1yr;٤;None;;٢;٤٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;١٨;Paid Up;New car;٧٥١١;£100-£1000;4-7 yrs;١;None;;٢;٥١;Other Banks/Depts;٣;1;١;٢;٢;١
Creditworthy;No Account;٢٠;Paid Up;Used car;٢٢١٢;£100-£1000;1-4 yrs;٤;None;;٣;٣٩;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٢٠;No Problems (in this bank);Other;٢٢٣٥;None;< 1yr;٤;Yes;٢;٢;٣٣;Other Banks/Depts;١;More than 1;١;١;١;٢
Non-Creditworthy;No Account;٢٠;No Problems (in this bank);Home Related;٢٢٣٥;None;< 1yr;٤;Yes;;٢;٣٣;Other Banks/Depts;١;More than 1;١;١;١;٢
Creditworthy;Some Balance;٢٠;No Problems (in this bank);Home Related;٣٤٨٥;£100-£1000;< 1yr;٢;None;٤;١;٤٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٢١;No Problems (in this bank);Home Related;٥٧١;None;4-7 yrs;٤;None;٤;١;٦٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢١;Paid Up;Home Related;١١٨٨;None;4-7 yrs;٢;None;;٢;٣٩;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;Some Balance;٢١;Paid Up;Used car;٢٢٤١;None;4-7 yrs;٤;None;٢;١;٥٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٢١;No Problems (in this bank);Used car;٢٢٨٨;None;< 1yr;٤;None;;٢;٢٣;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٢١;No Problems (in this bank);Home Related;٢٥٨٠;£100-£1000;< 1yr;٤;None;٢;١;٤١;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٢١;No Problems (in this bank);Used car;٢٧٤٥;£100-£1000;1-4 yrs;٣;None;;٣;٣٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢١;Paid Up;Home Related;٢٧٨٢;£100-£1000;1-4 yrs;١;None;;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢١;Paid Up;Home Related;٣١٦٠;£100-£1000;4-7 yrs;٤;None;;٢;٤١;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢١;No Problems (in this bank);New car;٣٢٧٥;None;4-7 yrs;١;None;;٣;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٢١;Paid Up;Home Related;٣٣٥٧;£100-£1000;< 1yr;٤;None;;٣;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٢١;Paid Up;Used car;٣٥٩٩;None;1-4 yrs;١;None;;٣;٢٦;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٢١;Paid Up;Used car;٣٩٧٦;£100-£1000;1-4 yrs;٢;None;;٣;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٢١;No Problems (in this bank);Home Related;١٢٦٨٠;£100-£1000;4-7 yrs;٤;None;;٤;٣٠;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;٢٢;Paid Up;Home Related;١٢٨٣;£100-£1000;1-4 yrs;٤;None;;٢;٢٥;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٧١٧;£100-£1000;4-7 yrs;٤;None;;٣;٥٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Used car;٩٢٩;£100-£1000;1-4 yrs;٤;None;;٣;٣١;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٩٣٧;None;< 1yr;٤;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٩٤٧;None;1-4 yrs;٤;None;;٤;٣٨;Other Banks/Depts;٣;1;١;٢;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;٩٩٩;£100-£1000;4-7 yrs;٤;None;;٣;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;١١٩٣;None;< 1yr;١;Yes;;٤;٢٩;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;No Account;٢٤;Paid Up;Home Related;١٢٠١;None;< 1yr;٤;None;;٢;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٢٣١;£100-£1000;4-7 yrs;٤;None;;٢;٥٧;Other Banks/Depts;١;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;١٢٤٦;None;< 1yr;٤;None;٢;١;٢٣;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٢٤٩;None;< 1yr;٤;None;٢;١;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٢٥٨;None;1-4 yrs;٤;None;١;١;٢٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٢٥٨;£100-£1000;< 1yr;٣;None;;٣;٥٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٢٧٥;£100-£1000;< 1yr;٢;None;٤;١;٣٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٢٧٨;None;4-7 yrs;٤;None;١;١;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٢٨٧;£100-£1000;4-7 yrs;٤;None;٤;١;٣٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٣١١;< £100;1-4 yrs;٤;None;;٢;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٣٤٤;£100-£1000;1-4 yrs;٤;None;٢;١;٣٧;Other Banks/Depts;٢;More than 1;١;٢;١;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;١٣٥٥;None;< 1yr;٣;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;١٣٥٨;£100-£1000;4-7 yrs;٤;None;;٣;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;١٣٧١;£100-£1000;< 1yr;٤;None;٤;١;٢٥;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٣٧٦;£100-£1000;1-4 yrs;٤;None;;٣;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٣٧٧;< £100;4-7 yrs;٤;None;;٤;٤٧;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٣٨٢;< £100;1-4 yrs;٤;None;١;١;٢٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٣٩٣;None;< 1yr;٢;Yes;٢;١;٣١;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٤١٣;None;< 1yr;٤;None;;٢;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Paid Up;Home Related;١٤٤٢;None;1-4 yrs;٤;None;;٣;٢٣;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٤٦٩;< £100;4-7 yrs;٤;None;٤;١;٤١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٥١٦;£100-£1000;< 1yr;٤;None;١;١;٤٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;١٥٤٦;None;1-4 yrs;٤;Yes;;٣;٢٤;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٥٥٢;None;1-4 yrs;٣;None;;٣;٣٢;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٥٥٣;< £100;1-4 yrs;٣;None;;٢;٢٣;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٥٩٧;None;4-7 yrs;٤;None;;٤;٥٤;Other Banks/Depts;٣;More than 1;١;٢;١;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٧٤٣;None;4-7 yrs;٤;None;;٢;٤٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٢٤;Paid Up;Used car;١٧٤٧;None;< 1yr;٤;Yes;;٢;٢٤;Other Banks/Depts;٢;1;١;١;١;٢
Non-Creditworthy;No Account;٢٤;Some Problems;Home Related;١٨٣٧;None;1-4 yrs;٤;None;;٤;٣٤;Other Banks/Depts;٣;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٨٥١;None;1-4 yrs;٤;Yes;;٣;٣٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Home Related;١٩٠١;< £100;< 1yr;٤;None;;٣;٢٩;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;Paid Up;Used car;١٩٢٥;None;< 1yr;٢;None;٢;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٩٢٧;£100-£1000;< 1yr;٣;None;;٣;٣٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٩٣٥;None;4-7 yrs;٤;None;٤;١;٣١;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;١٩٤٠;£100-£1000;4-7 yrs;٤;None;٤;١;٦٠;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٢٤;No Problems (in this bank);Home Related;١٩٦٥;£100-£1000;< 1yr;٤;None;;٣;٤٢;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;No Account;٢٤;Paid Up;Home Related;١٩٦٧;None;4-7 yrs;٤;None;;٣;٢٠;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Home Related;٢٠٢٢;None;< 1yr;٤;None;;٣;٣٧;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٢٤;No Problems (in this bank);Used car;٢٠٢٨;None;1-4 yrs;٢;None;;٢;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٢٤;No Problems (in this bank);Used car;٢٠٦٤;None;< 1yr;٣;None;;٢;٣٤;Other Banks/Depts;٢;1;١;١;٢;١
