الجدول ١
Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Some Balance;٩;Paid Up;Home Related;٣٥٧٧;< £100;< 1yr;١;Yes;٢;١;٢٦;Other Banks/Depts;١;1;١;٢;١;٢
Some Balance;١٠;Paid Up;Home Related;١٩٢٤;None;< 1yr;١;None;٤;٢;٣٨;Other Banks/Depts;٢;1;١;١;٢;٢
Some Balance;١٠;Paid Up;Home Related;٧٢٧;£100-£1000;4-7 yrs;٤;None;٤;٤;٤٦;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;١٠;No Problems (in this bank);Home Related;٧٨١;None;4-7 yrs;٤;None;٤;٤;٦٣;Other Banks/Depts;٣;More than 1;١;١;٢;١
Some Balance;١٠;No Problems (in this bank);Used car;٢٠٦٩;£100-£1000;< 1yr;٢;None;١;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;١;٢
Some Balance;٢٤;Paid Up;Home Related;١٥٢٥;£100-£1000;1-4 yrs;٤;None;٣;٣;٣٤;Other Banks/Depts;٢;1;١;٢;٢;١
Some Balance;٤٨;No Problems (in this bank);Home Related;٧٦٢٩;£100-£1000;4-7 yrs;٤;None;٢;٣;٤٦;Other Banks/Depts;٢;More than 1;١;٢;١;١
No Account;١٢;No Problems (in this bank);Home Related;٣٤٩٩;None;< 1yr;٣;Yes;٢;١;٢٩;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;Paid Up;New car;٢٩٢٤;None;< 1yr;٣;Yes;٤;٤;٦٣;Other Banks/Depts;٢;1;١;٢;٢;١
Some Balance;١٠;No Problems (in this bank);Home Related;١٢٣١;None;4-7 yrs;٣;None;٤;١;٣٢;Other Banks/Depts;٢;More than 1;١;٢;١;٢
Some Balance;١٥;No Problems (in this bank);Home Related;٥٠٤٥;£100-£1000;4-7 yrs;١;None;٤;٣;٥٩;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٢٥٥;None;4-7 yrs;٤;None;٤;١;٦١;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٢;Some Problems;Used car;٢٧٥٩;None;4-7 yrs;٢;None;٤;٢;٣٤;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٥;Paid Up;Home Related;١٤٠٣;None;< 1yr;٢;None;٤;٣;٢٨;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٦٥٦٨;None;< 1yr;٢;None;٢;٣;٢١;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;No Problems (in this bank);New car;٧٧٥٨;£100-£1000;4-7 yrs;٢;None;٤;٤;٢٩;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٢١;No Problems (in this bank);Used car;١٥٩١;< £100;1-4 yrs;٤;None;٣;١;٣٤;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٧;Paid Up;Home Related;٣٤١٦;None;< 1yr;٣;None;٢;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٥;Paid Up;Home Related;١٥١٤;< £100;< 1yr;٤;Yes;٢;١;٢٢;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٣٠;No Problems (in this bank);Home Related;٦٧٤٢;£100-£1000;1-4 yrs;٢;None;٣;٢;٣٦;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٩;Paid Up;Home Related;٤٥٨;None;< 1yr;٤;None;٣;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٩;Paid Up;Used car;٩١٨;None;< 1yr;٤;None;١;٢;٣٠;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;New car;٢٨١٢;£100-£1000;4-7 yrs;٢;None;٤;١;٢٦;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٤٨٠;£100-£1000;< 1yr;٢;None;٤;٤;٦٦;Other Banks/Depts;٣;More than 1;١;١;١;١
No Account;٩;Paid Up;Home Related;١٢٠٦;None;4-7 yrs;٤;None;٤;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;Home Related;٧٠٧;None;< 1yr;٤;None;٢;١;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Paid Up;Home Related;٦٠٧٨;None;1-4 yrs;٢;None;٢;٣;٣٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٧;Paid Up;Home Related;٢٥٢٨;None;< 1yr;٤;None;١;٢;٣٢;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;٦;Paid Up;New car;١٣٥٢;£100-£1000;< 1yr;١;None;٢;٢;٢٣;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;٢٤;Paid Up;Home Related;٣١٨١;None;< 1yr;٤;None;٤;٢;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٤٨;Paid Up;Home Related;٥٣٨١;£100-£1000;< 1yr;٣;None;٤;٤;٤٠;Other Banks/Depts;٣;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;١٩١٣;£100-£1000;< 1yr;٣;None;٣;١;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;٩٧٦;£100-£1000;4-7 yrs;٤;None;٤;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٣٧٥;£100-£1000;< 1yr;٤;None;٢;٣;٤٤;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;٥٢٢;£100-£1000;4-7 yrs;٤;None;٤;٢;٤٢;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;١٨;No Problems (in this bank);Home Related;١١٦٩;£100-£1000;< 1yr;٤;None;٣;٢;٢٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٥;No Problems (in this bank);Used car;١٤٧٨;None;4-7 yrs;٤;None;٤;٣;٤٤;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;١٢;Paid Up;Home Related;٧٧٦;None;< 1yr;٤;None;٢;١;٢٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٦;No Problems (in this bank);Home Related;١١٧٥;None;< 1yr;٢;None;٣;٣;٦٨;Other Banks/Depts;٣;More than 1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;٢١٣٣;£100-£1000;4-7 yrs;٤;None;٤;٤;٥٢;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;٣٠;No Problems (in this bank);Home Related;٤٥٣٠;None;1-4 yrs;٤;None;٤;٣;٢٦;Other Banks/Depts;١;1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;١٨٨٧;£100-£1000;< 1yr;٤;None;٤;١;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٢٦٤;£100-£1000;4-7 yrs;٤;None;٤;٤;٥٧;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٥;No Problems (in this bank);Home Related;١٥٣٢;< £100;< 1yr;٤;None;٣;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦;No Problems (in this bank);Home Related;٩٣٥;None;< 1yr;٣;None;٢;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٧;No Problems (in this bank);Home Related;٢٤٤٢;None;4-7 yrs;٤;None;٤;٣;٤٣;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;٣٩;No Problems (in this bank);Used car;١٤١٧٩;£100-£1000;1-4 yrs;٤;None;٤;٢;٣٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;٦١٨;None;4-7 yrs;٤;None;٤;١;٥٦;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;Used car;١٥٧٤;None;< 1yr;٤;None;٢;١;٥٠;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٣٦;Paid Up;New car;٤٦٨٦;None;< 1yr;٢;None;٢;٤;٣٢;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٩;Paid Up;Home Related;٧٩٠;£100-£1000;< 1yr;٤;None;٣;١;٦٦;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٤;Paid Up;Home Related;٣٩٧٣;None;< 1yr;١;None;٤;٤;٢٢;Other Banks/Depts;٣;1;١;١;١;١
No Account;٢٠;No Problems (in this bank);Home Related;٢٦٢٩;None;< 1yr;٢;None;٣;٣;٢٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;١٩٤١;£100-£1000;< 1yr;٤;None;٢;٢;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٢٤;No Problems (in this bank);Used car;٢٣٣٣;£100-£1000;< 1yr;٤;None;٢;٢;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;New car;٢٤٤٥;£100-£1000;< 1yr;٢;None;٤;٣;٢٦;Other Banks/Depts;١;1;١;١;٢;١
No Account;٢٠;Paid Up;New car;٦٤٦٨;£100-£1000;< 1yr;١;None;٤;١;٦٠;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٥;Paid Up;New car;٣٨١٢;< £100;< 1yr;١;None;٤;٣;٢٣;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;New car;٢٠٢٨;£100-£1000;< 1yr;٤;None;٢;٣;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٥;Paid Up;Home Related;٥٣٢٤;£100-£1000;4-7 yrs;١;None;٤;٤;٣٥;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;١٢;Paid Up;Home Related;١٣٩٣;None;4-7 yrs;٤;None;٤;٢;٤٧;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;٣٦;Paid Up;Home Related;٧٤٠٩;£100-£1000;4-7 yrs;٣;None;٢;٢;٣٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٥;Paid Up;Used car;٢١٨٦;£100-£1000;1-4 yrs;١;None;٤;١;٣٣;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٨;Paid Up;Used car;٣٤٢٢;None;4-7 yrs;٤;None;٤;٢;٤٧;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;١٨;Paid Up;Home Related;٣٨٧٢;None;< 1yr;٢;None;٤;٣;٦٧;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٧;Paid Up;Home Related;٥١٩٠;£100-£1000;4-7 yrs;٤;None;٤;٢;٤٨;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;١٨;Paid Up;Used car;٣٠٠١;None;1-4 yrs;٢;None;٤;١;٤٠;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٣٨٦٣;None;< 1yr;١;None;٢;٤;٣٢;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Used car;١٥٩٢;£100-£1000;1-4 yrs;٣;None;٢;٢;٣٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Used car;٣٧٨٠;None;< 1yr;٣;None;٢;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;١٠٧٦;None;< 1yr;٢;None;٢;١;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٨;Paid Up;Home Related;٢٠٥١;None;< 1yr;٤;None;١;١;٣٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;Some Problems;Home Related;٣١٠٤;None;1-4 yrs;٣;None;١;٢;٣١;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٦١١;None;4-7 yrs;٤;Yes;٣;١;٤٦;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Paid Up;Home Related;١٦٨٠;£100-£1000;4-7 yrs;٣;None;١;١;٣٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦;Paid Up;Home Related;١٥٩٥;None;1-4 yrs;٣;None;٢;٢;٥١;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٠٥٨;None;< 1yr;٤;None;٢;١;٣٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٢٤;Paid Up;New car;٧٨١٤;None;1-4 yrs;٣;None;٣;٣;٣٨;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٦;No Problems (in this bank);Home Related;١٧٤٠;None;4-7 yrs;٢;None;٢;١;٣٠;Other Banks/Depts;١;More than 1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);New car;٦٨٤٢;£100-£1000;< 1yr;٢;None;٤;٢;٤٦;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;٢٤;No Problems (in this bank);Used car;٥١٥٠;None;4-7 yrs;٤;None;٤;٣;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٦;No Problems (in this bank);Home Related;٢٠٨٠;£100-£1000;< 1yr;١;None;٢;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;No Problems (in this bank);Home Related;٣٨٧٨;< £100;< 1yr;٤;None;٢;٣;٣٧;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;Paid Up;Home Related;١٨١٩;None;< 1yr;٤;None;٤;٤;٣٧;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;٣٦;No Problems (in this bank);Used car;٧١٢٧;None;< 1yr;٢;None;٤;٢;٢٣;Other Banks/Depts;١;More than 1;١;١;٢;١
Some Balance;٣٦;Paid Up;Used car;٣٣٤٩;None;< 1yr;٤;None;٢;٣;٢٨;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;Paid Up;Used car;١٠٩٧٤;None;< 1yr;٤;None;٢;٣;٢٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٦;Paid Up;Home Related;٥١٨;None;< 1yr;٣;None;١;١;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;١١٢٦;£100-£1000;< 1yr;٤;None;٢;١;٢١;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;١٨;Paid Up;Home Related;١٥٠٥;None;< 1yr;٤;None;٢;٤;٣٢;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;٤;No Problems (in this bank);Home Related;١٥٠٣;None;1-4 yrs;٢;None;١;١;٤٢;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;١٢;Paid Up;Home Related;١٨٨١;None;< 1yr;٢;None;٢;٣;٤٤;Other Banks/Depts;١;1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;١٨٨٠;None;1-4 yrs;٤;None;١;٢;٣٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٢٣٨٩;None;< 1yr;٤;None;١;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٤;No Problems (in this bank);Home Related;١٤٥٥;None;1-4 yrs;٢;None;١;١;٤٢;Other Banks/Depts;٢;More than 1;١;٢;١;١
No Account;١٨;Some Problems;Used car;٣٢٤٤;None;< 1yr;١;None;٤;٣;٣٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٤٨;Paid Up;Home Related;٣٩٧٩;£100-£1000;1-4 yrs;٤;None;١;٣;٤١;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;١٢;Paid Up;Used car;١٩٢٢;None;< 1yr;٤;None;٢;٢;٣٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Used car;١٢٩٥;None;< 1yr;٤;None;١;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٠;Paid Up;Home Related;١٧١٥;£100-£1000;< 1yr;٤;None;١;٣;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٠;No Problems (in this bank);Home Related;١٣٤٧;£100-£1000;1-4 yrs;٤;None;٢;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;١٠٠٧;£100-£1000;< 1yr;٤;None;١;١;٢٢;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;٢٠٩٦;None;1-4 yrs;٢;None;٣;١;٤٩;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;١٢;Paid Up;Home Related;١١٠١;None;< 1yr;٣;None;٢;١;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٠;Paid Up;Home Related;٨٩٤;£100-£1000;1-4 yrs;٤;None;٣;٢;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٤٨;Some Problems;Home Related;٨٣٥٨;£100-£1000;< 1yr;١;None;١;٣;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٦٠;Paid Up;Home Related;٧٤٠٨;< £100;< 1yr;٤;None;٢;٢;٢٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;No Problems (in this bank);Home Related;٩٨٥٧;< £100;1-4 yrs;١;None;٣;٢;٣١;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;١٢;No Problems (in this bank);Used car;١٩٣٥;None;4-7 yrs;٤;None;٤;١;٤٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٤٨;Paid Up;Home Related;١٠٢٢٢;£100-£1000;1-4 yrs;٤;None;٣;٣;٣٧;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;Paid Up;Home Related;٩٠٥٥;£100-£1000;< 1yr;٢;None;٤;٤;٣٥;Other Banks/Depts;٣;1;١;٢;٢;١
No Account;٣٠;Some Problems;Used car;٣٤٩٦;£100-£1000;< 1yr;٤;None;٢;٣;٣٤;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;٣٦;Paid Up;Used car;٣٤٤٦;None;4-7 yrs;٤;None;٢;٣;٤٢;Other Banks/Depts;٢;1;١;٢;١;١
No Account;١٢;Paid Up;Home Related;٦٨٤;None;< 1yr;٤;None;٤;٣;٤٠;Other Banks/Depts;١;1;١;٢;١;١
No Account;٢٤;Paid Up;Used car;٢٣٥٩;< £100;< 1yr;١;None;١;٢;٣٣;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;Paid Up;Home Related;٣٦٢١;< £100;4-7 yrs;٢;None;٤;٣;٣١;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Paid Up;Home Related;٧٤١;< £100;< 1yr;٤;None;٣;٢;٢٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Paid Up;Used car;٧٨٦٥;None;4-7 yrs;٤;None;٤;٤;٥٣;Other Banks/Depts;٣;1;١;١;٢;١
No Account;١٨;No Problems (in this bank);Home Related;٥٣٠٢;None;4-7 yrs;٢;None;٤;٤;٣٦;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٣٥٠٩;None;1-4 yrs;٤;Yes;١;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Paid Up;Used car;١٦٥٧;None;< 1yr;٢;None;٢;١;٢٧;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;No Problems (in this bank);Used car;٦٢٢٩;None;< 1yr;٤;Yes;٤;٤;٢٣;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٣٠;Some Problems;Used car;٤٥٨٣;None;< 1yr;٢;Yes;٢;١;٣٢;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٦;No Problems (in this bank);Used car;٥٣٧١;None;< 1yr;٣;Yes;٢;٢;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٦;Paid Up;Used car;٢٧١٢;None;4-7 yrs;٢;None;٢;٢;٤١;Other Banks/Depts;٢;1;١;٢;١;١
No Account;٦;No Problems (in this bank);Used car;١٠٥٠;None;< 1yr;٤;None;١;٢;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;٢
No Account;٦;No Problems (in this bank);Home Related;٦٠٩;None;1-4 yrs;٤;None;٣;٢;٣٧;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;Paid Up;Used car;٣٠٦٩;< £100;4-7 yrs;٤;None;٤;٤;٣٠;Other Banks/Depts;٣;1;١;١;١;١
No Account;١٢;Paid Up;Home Related;٨٣٦;< £100;< 1yr;٤;None;٢;٢;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٥;Paid Up;Used car;١٨٤٥;None;< 1yr;٤;Yes;١;٢;٤٦;Other Banks/Depts;١;1;١;١;١;١
No Account;٢٤;Paid Up;New car;٦٥٧٩;None;< 1yr;٤;None;٢;٤;٢٩;Other Banks/Depts;٣;1;١;١;٢;١
No Account;٣٠;Paid Up;Used car;٣١٠٨;None;< 1yr;٢;None;٤;٢;٣١;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٦٣١٤;None;< 1yr;٤;Yes;٢;٤;٢٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٢;Paid Up;Used car;٣٥٩٠;None;< 1yr;٢;Yes;٢;٢;٢٩;Other Banks/Depts;٢;1;١;٢;١;١
No Account;٦;No Problems (in this bank);Used car;١٨٧٢;None;< 1yr;٤;None;٤;٤;٣٦;Other Banks/Depts;٣;More than 1;١;١;٢;١
Some Balance;٦;Paid Up;Home Related;١٢٣٨;£100-£1000;< 1yr;٤;None;٤;٢;٣٦;Other Banks/Depts;٢;1;١;٢;٢;١
No Account;١٢;Paid Up;Used car;٢٥٧٨;None;< 1yr;٣;None;٤;٤;٥٥;Other Banks/Depts;٣;1;١;١;١;١
No Account;١٥;No Problems (in this bank);Used car;١٤٣٣;None;< 1yr;٤;None;٣;٢;٢٥;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٤٢;Paid Up;Used car;٧٨٨٢;None;1-4 yrs;٢;Yes;٤;٢;٤٥;Other Banks/Depts;٣;1;١;٢;١;١
No Account;٢٤;Paid Up;Used car;٤١٦٩;None;< 1yr;٤;None;٤;٢;٢٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٦;Paid Up;Used car;٣٩٥٩;None;< 1yr;٤;None;٣;٢;٣٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٣٦;Paid Up;Home Related;٣٢٤٩;None;1-4 yrs;٢;None;٤;٤;٣٩;Other Banks/Depts;٣;1;١;٢;٢;١
No Account;٢٤;Paid Up;Used car;٣١٤٩;None;< 1yr;٤;None;١;٤;٢٢;Other Banks/Depts;٣;1;١;١;١;١
No Account;١٣;No Problems (in this bank);Home Related;١٧٩٧;None;< 1yr;٣;None;١;٢;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٠;No Problems (in this bank);Used car;٤٢٧٢;None;4-7 yrs;١;None;٤;٢;٢٤;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;No Problems (in this bank);New car;٢٩٥٧;None;4-7 yrs;٤;None;٤;٢;٦٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٤٢;Some Problems;Home Related;٦٢٨٩;None;< 1yr;٢;None;١;٢;٣٣;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٦;Paid Up;Home Related;١٥٨٥٧;None;< 1yr;٢;Yes;٣;٣;٤٣;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٢٢٣;< £100;4-7 yrs;٤;None;٤;٢;٥٢;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٣٠;No Problems (in this bank);Home Related;٢٥٠٣;< £100;4-7 yrs;٤;None;٢;٢;٤١;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٦;Paid Up;Home Related;٣٦٨;£100-£1000;4-7 yrs;٤;None;٤;٢;٣٨;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٤٢٤;£100-£1000;4-7 yrs;٤;None;٤;٢;٥٣;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٨;No Problems (in this bank);Home Related;٢٤٢٧;£100-£1000;4-7 yrs;٤;None;٢;٢;٤٢;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;No Problems (in this bank);Home Related;١٢١٦;< £100;< 1yr;٤;None;٤;٤;٣٨;Other Banks/Depts;٢;More than 1;١;٢;١;١
No Account;٦;Paid Up;Home Related;٧٥٣;None;< 1yr;٢;Yes;٣;١;٦٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٦;Paid Up;Home Related;٥٩٠;None;< 1yr;٣;None;٣;١;٢٦;Other Banks/Depts;٢;1;١;١;١;٢
No Account;٨;No Problems (in this bank);Home Related;٧١٣;None;4-7 yrs;٤;None;٤;١;٤٧;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;١٢;Paid Up;Home Related;١٠٩٢;None;< 1yr;٤;Yes;٤;١;٤٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;٧;Paid Up;Home Related;٢٣٢٩;None;< 1yr;١;Yes;١;١;٤٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٣;No Problems (in this bank);Home Related;٨٨٢;None;< 1yr;٤;Yes;٤;١;٢٣;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٧;Paid Up;Home Related;٢٤١٥;None;< 1yr;٣;Yes;٢;١;٣٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٣;Paid Up;Home Related;٢١٠١;None;< 1yr;٢;Yes;٤;٢;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;Paid Up;Home Related;١١١٣;None;< 1yr;٤;Yes;٤;١;٢٦;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;٦;No Problems (in this bank);Home Related;١٣٢٣;< £100;4-7 yrs;٢;None;٤;٣;٢٨;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;١٥;No Problems (in this bank);Home Related;٢٧٢٨;£100-£1000;1-4 yrs;٤;Yes;٢;١;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٠;Some Problems;Home Related;١٠٤٨;None;< 1yr;٤;None;٤;١;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٢;Paid Up;Home Related;١١٥٥;None;4-7 yrs;٣;Yes;٣;١;٤٠;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٠;No Problems (in this bank);New car;٧٠٥٧;£100-£1000;1-4 yrs;٣;None;٤;٢;٣٦;Other Banks/Depts;١;More than 1;١;٢;٢;١
No Account;١٥;No Problems (in this bank);Home Related;١٥٣٧;£100-£1000;4-7 yrs;٤;Yes;٤;١;٥٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;٢٢١٤;None;< 1yr;٤;None;٣;٢;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Used car;١٥٨٥;None;1-4 yrs;٤;None;٣;٢;٤٠;Other Banks/Depts;٢;More than 1;١;١;١;١
